run,first_token_ms,first_reasoning_ms,reasoning_end_ms,tool_call_complete_ms,finish_reason_ms,done_ms,server_total_time_ms
1,120.58687501121312,120.58687501121312,327.9435830190778,327.9435830190778,357.233333052136,357.2563750203699,262.95858100000004
2,118.61274996772408,118.61274996772408,274.7363749658689,274.7363749658689,304.7390410210937,304.7678329749033,217.09408
3,117.48941702535376,117.48941702535376,177.98037501052022,236.56370799290016,266.86983299441636,266.8975000269711,171.66915799999998
4,108.55758300749585,108.55758300749585,233.03091595880687,265.5798749765381,298.9375829929486,298.9604579634033,205.191678
5,115.25720794452354,115.25720794452354,334.84224998392165,334.84224998392165,364.717791962903,364.73745794501156,273.83644499999997
6,109.73995795939118,109.73995795939118,169.09520799526945,221.03433299344033,252.38333299057558,252.424499951303,160.57346
7,116.5092500159517,116.5092500159517,177.06625000573695,223.29004103085026,253.88666603248566,253.93158302176744,160.872598
8,109.49154203990474,109.49154203990474,175.59604201233014,215.35420801956207,245.77358301030472,245.7985420478508,159.23754100000002
9,109.4652499887161,109.4652499887161,474.7555840294808,532.50620898325,560.4583750246093,560.4774589883164,467.336294
10,108.91991597600281,108.91991597600281,173.11683297157288,228.07920799823478,261.49108295794576,261.5137079847045,159.61443
