run,first_token_ms,first_reasoning_ms,reasoning_end_ms,tool_call_complete_ms,finish_reason_ms,done_ms,server_total_time_ms
1,121.28904199926183,121.28904199926183,259.62787499884143,302.5989580200985,332.8265830059536,332.8527080011554,224.745934
2,117.90912499418482,117.90912499418482,223.37116696871817,223.37116696871817,256.02770899422467,256.0512089985423,156.988556
3,172.19341697636992,172.19341697636992,237.36675002146512,278.6892090225592,310.16599998110905,310.18129200674593,161.317904
4,114.43875002441928,114.43875002441928,182.2739580529742,223.166250041686,253.6192920524627,253.638583002612,161.107582
5,131.9156659883447,131.9156659883447,171.16604099282995,227.32929099583998,264.12900001741946,264.1437500133179,160.12258400000002
6,154.9493339844048,154.9493339844048,222.25554200122133,269.43854201817885,304.5597919845022,304.57754200324416,160.829926
7,123.85662499582395,123.85662499582395,188.35625000065193,226.54541698284447,258.8892089552246,258.9148749830201,160.11076899999998
8,112.22825001459569,112.22825001459569,352.88020898588,352.88020898588,386.34095899760723,386.35154196526855,285.421486
9,195.92299999203533,195.92299999203533,195.9697920246981,327.84225000068545,358.7750419974327,358.8029590318911,159.822652
10,202.86850002594292,202.86850002594292,233.06800000136718,386.828750022687,386.8619170389138,386.86970801791176,161.124369
