commit_name,commit_sha,profile,isl,osl,concurrency,num_mockers,num_requests,req_per_sec,output_tok_per_sec,req_latency_ms_avg,req_latency_ms_min,req_latency_ms_max,req_latency_ms_p99,req_latency_ms_p90,req_latency_ms_p50,duration_sec,request_count,computed_req_per_sec,computed_tok_per_sec
head,fee0d9109,max-rps,32,32,4096,1,16384,16384.0,3837.8,32.76,29.0,38.0,36.0,34.0,33.0,4.27,,3837.002341920375,122784.074941452
head,fee0d9109,max-rps,32,32,4096,1,32768,32768.0,4036.66,32.77,30.0,41.0,36.0,34.0,33.0,8.12,,4035.467980295567,129134.97536945814
head,fee0d9109,max-rps,32,32,4096,1,49152,49152.0,4014.47,32.78,29.0,41.0,36.0,34.0,33.0,12.24,,4015.6862745098038,128501.96078431372
head,fee0d9109,max-rps,32,32,4096,2,16384,16384.0,3846.11,32.77,30.0,39.0,36.0,34.0,33.0,4.26,,3846.0093896713615,123072.30046948357
head,fee0d9109,max-rps,32,32,4096,2,32768,32768.0,3823.36,32.78,30.0,41.0,36.0,34.0,33.0,8.57,,3823.5705950991833,122354.25904317386
head,fee0d9109,max-rps,32,32,4096,2,49152,49152.0,4008.23,32.77,30.0,39.0,36.0,34.0,33.0,12.26,,4009.1353996737357,128292.33278955954
head,fee0d9109,max-rps,32,32,4096,4,16384,16384.0,3883.51,32.77,29.0,39.0,36.0,34.0,33.0,4.22,,3882.4644549763034,124238.86255924171
head,fee0d9109,max-rps,32,32,4096,4,32768,32768.0,3997.16,32.77,30.0,40.0,36.0,34.0,33.0,8.2,,3996.09756097561,127875.12195121952
head,fee0d9109,max-rps,32,32,4096,4,49152,49152.0,4029.33,32.78,30.0,40.0,36.0,34.0,33.0,12.2,,4028.852459016394,128923.2786885246
head,fee0d9109,max-rps,32,32,4096,8,16384,16384.0,3782.56,32.79,30.0,39.0,36.0,34.0,33.0,4.33,,3783.8337182448035,121082.67898383371
head,fee0d9109,max-rps,32,32,4096,8,32768,32768.0,3982.38,32.77,29.0,40.0,36.0,34.0,33.0,8.23,,3981.530984204131,127408.9914945322
head,fee0d9109,max-rps,32,32,4096,8,49152,49152.0,3981.15,32.77,30.0,39.0,36.0,34.0,33.0,12.35,,3979.9190283400812,127357.4089068826
